baud rate 115200
0
16
15
13
12
12
11
9
9
7
6
6
4
20
19
17
17
16
14
13
12
10
10
9
9
7
24
5
21
20
19
17
17
15
14
14
12
11
10
8
7
7
6
22
21
20
18
17
17
16
14
13
12
11
10
10
9
8
6
21
4
19
18
17
16
15
14
12
12
11
