baud rate 115200
23
5

4

6

3

4

6

3

5

6

3

6

6

3

6

6

4

5

6

4

4

6

3

5

7

4

5

7

4

5

2

3

5

3

4

6

3

4

5

6

3

5

6

3

5

6

4

5

6

4

5

6

4

5

7

4

